Name,project_id,description,emp_id,projectManagerId,startDate,endDate,status,url,Approval
InnovatePro,ecdaa754-2612-4a95-8fdd-c4bfab0c72ad,"['Accessibility', 'GraphQL', 'CSS']",Emp_1,EMP_589,2020-12-11,2024-05-03,completed,https://www.everett.com/,Approved
TechNova Backup Solution,57bff100-8819-4ae4-bc40-1da005f9e0b5,"['MySQL', 'Java', 'Network Security']",Emp_1,EMP_516,2022-04-29,2024-04-18,active,http://booth.biz/,Rejected
QuickTech Remote Support,1f901e21-d727-44f5-9b8b-6f627b4e1c30,"['Data Visualization', 'PHP', 'Flask']",Emp_1,EMP_912,2023-01-24,2024-04-30,active,https://www.walsh.com/,Rejected
AgileWare,16117769-5a74-4a9d-9681-b9bb26876625,"['CSS', 'NoSQL', 'Continuous Deployment']",Emp_1,EMP_770,2020-12-29,2024-04-10,active,https://terrell.info/,Approved
PixelWorks,6b04ceef-d9ad-446a-948e-7196544d22d0,"['JavaScript', 'User Research', 'Wireframing']",Emp_2,EMP_626,2024-03-21,2024-04-17,active,http://www.henry-dyer.com/,Rejected
BlueFinity Evoke,93973d79-fe26-42e8-9570-9bf8d249bf1f,"['Node.js', 'User Stories', 'Google Cloud Platform']",Emp_2,EMP_97,2023-02-06,2024-05-02,active,http://alexander-johnson.com/,Rejected
CyberCode Online Store,b6f939f2-48b3-45f5-93d5-60596c70a550,"['Behavior-Driven Development', 'Responsive Design', 'CSS']",Emp_2,EMP_57,2020-02-17,2024-04-27,completed,https://www.edwards.info/,Approved
CodeCraft Web Builder,acd01c82-7f0c-4a03-90a0-6f4c8932b768,"['Data Analysis', 'Microservices', 'Prototyping']",Emp_2,EMP_576,2024-01-17,2024-04-12,active,https://www.duke.com/,Rejected
BlueFinity Evoke,bebf37a2-a728-403c-bd43-2a379682215b,"['Docker', 'Ruby', 'Test-Driven Development']",Emp_3,EMP_708,2024-01-27,2024-04-11,completed,https://lewis-hoover.com/,Rejected
InnovatePro,6c60a6a1-e7da-48bd-9f65-c985f08c82ac,"['.NET', 'Cryptography', 'Information Security']",Emp_3,EMP_267,2022-07-11,2024-04-17,active,http://www.cortez.com/,Rejected
VortexVision Virtual Assistant,45889b14-ee10-4b47-9337-83ce0c62be17,"['React', 'Kubernetes', 'Problem Solving']",Emp_3,EMP_766,2021-09-02,2024-04-09,completed,https://flynn.com/,Approved
CatalystCommerce,16e0ebb8-855d-43e2-b9b8-5a04e2e70e67,"['Node.js', 'User Stories', '.NET']",Emp_3,EMP_612,2020-04-07,2024-04-15,active,http://www.dickerson.com/,Approved
SilverLinx POS System,6b8aff13-942d-484b-a884-b32b8872143a,"['Communication', 'Swift', 'Information Security']",Emp_4,EMP_262,2023-04-29,2024-05-04,completed,https://powell.com/,Approved
DataWave,74d62e6f-3af0-4cb3-b76f-dac1f60c37cd,"['Data Analysis', 'Network Security', 'Penetration Testing']",Emp_4,EMP_390,2021-01-16,2024-04-15,active,http://www.gay.com/,Rejected
FusionSoft Email Client,f81a20bb-6532-4645-a200-f9335fd1e728,"['Information Security', 'Machine Learning', 'Cryptography']",Emp_4,EMP_104,2022-07-24,2024-04-30,completed,https://king-fritz.com/,Rejected
InnovatePro,5bf9e1bb-0cec-41cd-8274-5e4e83aa4f6f,"['Documentation', 'Docker', 'Swift']",Emp_4,EMP_287,2022-06-27,2024-04-16,active,http://cole.com/,Rejected
InnovateSoft Budget Planner,42d19bca-6696-43c8-993d-99791b20fbd1,"['Google Cloud Platform', 'Angular', 'React']",Emp_5,EMP_544,2021-06-06,2024-04-16,completed,https://www.rogers-horton.com/,Rejected
DataBridge,03e70b67-28b7-4c02-b7eb-55aca38c14c8,"['SQL', 'Documentation', 'Flask']",Emp_5,EMP_144,2023-08-01,2024-04-09,completed,http://www.velasquez.com/,Rejected
TechSpark,06580728-d95f-482c-a3c9-6440ed4cd5c5,"['PostgreSQL', 'Flask', 'Product Management']",Emp_5,EMP_761,2022-11-09,2024-04-24,active,http://www.ryan.info/,Rejected
DataForge Dashboard Creator,0560628f-1265-40a6-bd5b-912d9eb5b1c9,"['MySQL', 'Java', 'Data Analysis']",Emp_5,EMP_407,2022-01-15,2024-05-08,completed,http://finley.info/,Approved
InnovatePro,bce66fbb-84cb-4c05-9d67-c45c0f1b8566,"['.NET', 'Troubleshooting', 'Wireframing']",Emp_6,EMP_296,2022-05-20,2024-04-26,active,https://www.parker-lester.com/,Rejected
Streamline Solutions CRM,808cbcb0-c589-46fd-a959-bec0186fc282,"['Continuous Integration', 'Leadership', 'Data Science']",Emp_6,EMP_950,2022-12-06,2024-04-18,active,https://www.odom.com/,Approved
AgileTech,b0d483ae-589c-4dec-b1ea-2481f6e7558e,"['MongoDB', 'UI/UX Design', 'Data Science']",Emp_6,EMP_55,2021-02-06,2024-04-28,active,https://www.hill.net/,Rejected
TechSprint,208a2260-7ba0-47af-8f01-2ad9a7dfb7ef,"['Data Science', 'Accessibility', 'NoSQL']",Emp_6,EMP_76,2023-03-21,2024-04-20,completed,https://hernandez.com/,Approved
PixelWare,ecb0fcc8-223f-4b69-915d-0bd8417e8f48,"['Leadership', 'Continuous Integration', 'Artificial Intelligence']",Emp_7,EMP_842,2020-04-19,2024-05-08,completed,http://www.cameron.org/,Approved
ByteBoost,b582eb78-d0e8-4c09-81cd-484849ace98a,"['Scrum', 'RESTful API', 'AWS']",Emp_7,EMP_761,2022-03-09,2024-05-04,completed,https://www.brooks.com/,Approved
SwiftShift Time Tracker,e220dcd0-4eb0-4c73-9834-e7f0b97216f8,"['MySQL', 'Communication', 'PostgreSQL']",Emp_7,EMP_857,2022-01-15,2024-05-05,completed,http://mendoza.com/,Rejected
ByteForge,679fd9f6-866a-4192-bc08-67076d9fff6b,"['Requirements Analysis', 'Vue.js', 'Java']",Emp_7,EMP_415,2020-05-25,2024-04-13,active,http://thomas-gonzalez.net/,Rejected
DataBridge,76460fd2-316b-488a-8640-0796f598018d,"['Problem Solving', 'Data Analysis', 'Cybersecurity']",Emp_8,EMP_190,2023-12-28,2024-04-29,active,http://martinez.org/,Rejected
TechNova Backup Solution,97697b5c-0cc9-4827-85ed-ae4720f9e31a,"['User Research', 'Communication', 'Vue.js']",Emp_8,EMP_782,2021-03-26,2024-04-25,completed,https://www.black-dunlap.com/,Approved
PixelWare,1b33436d-94b5-4c68-abb7-6c5fbd31826b,"['Requirements Analysis', 'Agile Product Management', 'HTML']",Emp_8,EMP_108,2023-03-22,2024-05-01,active,https://www.newman.com/,Approved
PixelPlex Crypto Trader,0c000be2-dd26-45e9-8c74-558f962a0dc9,"['Agile Product Management', 'JavaScript', 'User Research']",Emp_8,EMP_811,2021-02-09,2024-04-20,active,https://www.stewart-lewis.com/,Rejected
DataForge Dashboard Creator,ee96163d-9750-42e7-9431-9959f202d4f0,"['Information Security', 'Prototyping', 'Statistical Analysis']",Emp_9,EMP_149,2023-12-20,2024-05-05,active,http://willis-brown.org/,Rejected
CodeCraft,59176159-89c5-4892-9e0a-dba2fe491fc1,"['Information Security', 'Git', 'Objective-C']",Emp_9,EMP_630,2022-11-02,2024-04-23,active,https://webster.info/,Rejected
LogicLane Project Tracker,4b684289-afa9-4f24-9d32-2682916bda03,"['Python', 'Cybersecurity', 'Troubleshooting']",Emp_9,EMP_117,2021-11-03,2024-04-20,completed,https://fowler.com/,Rejected
InnovaTech,1092e897-658f-4860-b724-4cffa84ccd18,"['CSS', 'User Research', 'User Stories']",Emp_9,EMP_885,2022-03-18,2024-05-04,active,https://www.barrett-knight.info/,Rejected
DataPulse,ace32207-5541-4b34-aeef-37b8c82397eb,"['Continuous Integration', 'MongoDB', 'Information Security']",Emp_10,EMP_80,2020-11-18,2024-04-30,active,http://www.brown.com/,Approved
VortexVision Virtual Assistant,19ddf142-fc6a-4347-abec-98504d5f024d,"['Interaction Design', 'Objective-C', 'SQL']",Emp_10,EMP_555,2022-09-20,2024-04-10,active,https://johnson.com/,Approved
SwiftShift Time Tracker,cfe466f4-a6c7-430b-80b7-27d07c93be37,"['Wireframing', 'Documentation', 'Kubernetes']",Emp_10,EMP_909,2024-04-01,2024-04-21,completed,https://www.ingram.com/,Approved
EchoTech Task Manager,12a27033-024f-4e77-b850-fddd89d2b34e,"['Business Analysis', 'User Stories', 'Ruby']",Emp_10,EMP_91,2022-01-15,2024-05-05,active,http://www.cook.com/,Approved
